Raw Dependency Data Export
  padlokk.padlock_orig      0.10         dep  prods/padlokk/padlock_orig/Cargo.toml

DEPENDENCY: sqlx, LATEST: 0.8.6
  projects.nox_server       0.7          dep  oodx/projects/nox_server/Cargo.toml

DEPENDENCY: strip-ansi-escapes, LATEST: 0.2.1
  projects.paintbox         0.2          dep  oodx/projects/paintbox/Cargo.toml
  projects.rolo             0.2          dep  oodx/projects/rolo/Cargo.toml
  projects.boxy             0.2          dep  oodx/projects/boxy/Cargo.toml

DEPENDENCY: tempfile, LATEST: 3.22.0
  projects.kick             3.0          dev  oodx/projects/kick/Cargo.toml
  projects.prontodb         3            dep  oodx/projects/prontodb/Cargo.toml
  projects.nox_server       3.0          dev  oodx/projects/nox_server/Cargo.toml
  padlokk.padlock_orig      3.8          dep  prods/padlokk/padlock_orig/Cargo.toml
  padlokk.cage              3.8          dep  prods/padlokk/cage/Cargo.toml

DEPENDENCY: thiserror, LATEST: 2.0.16
  projects.kick             2.0.16       dep  oodx/projects/kick/Cargo.toml
  projects.nox_server       2.0.16       dep  oodx/projects/nox_server/Cargo.toml
  padlokk.padlock_orig      2            dep  prods/padlokk/padlock_orig/Cargo.toml
  padlokk.cage              2            dep  prods/padlokk/cage/Cargo.toml

DEPENDENCY: tokio, LATEST: 1.47.1
  projects.kick             1.0          dep  oodx/projects/kick/Cargo.toml
  projects.nox_server       1.0          dep  oodx/projects/nox_server/Cargo.toml
  projects.porty            1            dep  oodx/projects/porty/Cargo.toml
  padlokk.padlock_orig      1.0          dep  prods/padlokk/padlock_orig/Cargo.toml

DEPENDENCY: tokio-test, LATEST: 0.4.4
  projects.kick             0.4          dev  oodx/projects/kick/Cargo.toml
  projects.nox_server       0.4          dev  oodx/projects/nox_server/Cargo.toml

DEPENDENCY: toml, LATEST: 0.9.7
  projects.kick             0.9.5        dep  oodx/projects/kick/Cargo.toml
  projects.porty            0.9          dep  oodx/projects/porty/Cargo.toml

DEPENDENCY: tracing, LATEST: 0.1.41
  projects.kick             0.1          dep  oodx/projects/kick/Cargo.toml
  projects.nox_server       0.1          dep  oodx/projects/nox_server/Cargo.toml

DEPENDENCY: tracing-subscriber, LATEST: 0.3.20
  projects.kick             0.3          dep  oodx/projects/kick/Cargo.toml
  projects.nox_server       0.3          dep  oodx/projects/nox_server/Cargo.toml

DEPENDENCY: unicode-segmentation, LATEST: 1.12.0
  projects.paintbox         1.10         dep  oodx/projects/paintbox/Cargo.toml

DEPENDENCY: unicode-width, LATEST: 0.2.1
  projects.paintbox         0.1          dep  oodx/projects/paintbox/Cargo.toml
  projects.rolo             0.2.1        dep  oodx/projects/rolo/Cargo.toml
  projects.boxy             0.2          dep  oodx/projects/boxy/Cargo.toml
  concepts.muxy             0.2.1        dep  oodx/concepts/muxy/Cargo.toml

DEPENDENCY: url, LATEST: 2.5.7
  projects.kick             2.0          dep  oodx/projects/kick/Cargo.toml
  projects.nox_server       2.0          dep  oodx/projects/nox_server/Cargo.toml

DEPENDENCY: urlencoding, LATEST: 2.1.3
  projects.hub              2.1.3        dep  oodx/projects/hub/Cargo.toml
  projects.rsb              2.1.3        dep  oodx/projects/rsb/Cargo.toml

DEPENDENCY: uuid, LATEST: 1.18.1
  projects.hub              1.17.0       dep  oodx/projects/hub/Cargo.toml
  projects.kick             1.0          dep  oodx/projects/kick/Cargo.toml
  projects.rsb              1.17.0       dep  oodx/projects/rsb/Cargo.toml
  projects.asc100           1.6          dep  oodx/projects/asc100/Cargo.toml
  projects.asc100           1.6          dev  oodx/projects/asc100/Cargo.toml
  projects.nox_server       1.0          dep  oodx/projects/nox_server/Cargo.toml

DEPENDENCY: which, LATEST: 8.0.0
  padlokk.cage              6.0          dep  prods/padlokk/cage/Cargo.toml

DEPENDENCY: wiremock, LATEST: 0.6.5
  projects.kick             0.6          dev  oodx/projects/kick/Cargo.toml

DEPENDENCY: zstd, LATEST: 0.13.3
  projects.prontodb         0.13         dep  oodx/projects/prontodb/Cargo.toml

